30, 108
723, 87
844, 540
319, 333
290, 869
171, 531
303, 879
994, 658
261, 989
228, 302
767, 308
764, 176
405, 99
11, 96
857, 79
497, 339
747, 295
443, 399
690, 882
252, 456
593, 661
914, 42
777, 423
290, 676
3, 281
406, 235
615, 262
189, 724
762, 794
901, 893
482, 69
358, 11
432, 857
539, 769
438, 561
841, 372
177, 676
377, 561
867, 542
685, 537
990, 143
42, 762
63, 773
37, 299
844, 356
735, 902
381, 115
8, 810
459, 580
2, 995
44, 136
425, 300
488, 243
74, 516
868, 358
235, 443
699, 379
674, 539
528, 571
193, 126
745, 669
619, 880
191, 668
793, 719
514, 202
530, 996
419, 496
929, 249
311, 730
106, 881
494, 388
808, 62
117, 701
628, 612
911, 513
631, 949
257, 12
444, 995
342, 468
74, 111
464, 802
580, 371
884, 438
872, 362
197, 648
872, 260
922, 914
782, 40
583, 972
78, 233
372, 113
739, 644
16, 752
511, 907
519, 778
614, 817
335, 58
100, 908
542, 241
415, 218
